onset	duration	nwb_table	start_original_frame	stop_original_frame
39.20956	6.452159999999999	invalid_times		
297.88272	17.28958	invalid_times		
297.88272	17.28958	ci_recording_on_pause	2499.0	2500.0
608.33514	16.610959999999977	invalid_times		
608.33514	16.610959999999977	ci_recording_on_pause	4999.0	5000.0
918.1089200000001	17.100119999999947	invalid_times		
918.1089200000001	17.100119999999947	ci_recording_on_pause	7499.0	7500.0
1228.37184	17.29006000000004	invalid_times		
1228.37184	17.29006000000004	ci_recording_on_pause	9999.0	10000.0
1275.10724	6.569460000000163	invalid_times		
