onset	duration	nwb_table	start_original_frame	stop_original_frame
320.81724	17.11074000000002	invalid_times		
320.81724	17.11074000000002	ci_recording_on_pause	2499.0	2500.0
631.09082	17.362500000000068	invalid_times		
631.09082	17.362500000000068	ci_recording_on_pause	4999.0	5000.0
941.61612	17.179300000000012	invalid_times		
941.61612	17.179300000000012	ci_recording_on_pause	7499.0	7500.0
1251.95818	17.065380000000005	invalid_times		
1251.95818	17.065380000000005	ci_recording_on_pause	9999.0	10000.0
