onset	duration	nwb_table	start_original_frame	stop_original_frame
70.50938000000001	1.421840000000003	invalid_times		
160.79622	3.9100600000000156	invalid_times		
314.47342000000003	18.51655999999997	invalid_times		
314.47342000000003	18.51655999999997	ci_recording_on_pause	2499.0	2500.0
629.0881	18.16718000000003	invalid_times		
629.0881	18.16718000000003	ci_recording_on_pause	4999.0	5000.0
943.3533600000001	18.50490000000002	invalid_times		
943.3533600000001	18.50490000000002	ci_recording_on_pause	7499.0	7500.0
1257.9563	18.666680000000042	invalid_times		
1257.9563	18.666680000000042	ci_recording_on_pause	9999.0	10000.0
