onset	duration	nwb_table	start_original_frame	stop_original_frame
323.50428000000005	18.0745	invalid_times		
323.50428000000005	18.0745	ci_recording_on_pause	2499.0	2500.0
637.6769400000001	17.78188	invalid_times		
637.6769400000001	17.78188	ci_recording_on_pause	4999.0	5000.0
951.55694	18.245499999999993	invalid_times		
951.55694	18.245499999999993	ci_recording_on_pause	7499.0	7500.0
1265.90054	17.869820000000118	invalid_times		
1265.90054	17.869820000000118	ci_recording_on_pause	9999.0	10000.0
