onset	duration	nwb_table	start_original_frame	stop_original_frame
199.69752000000003	7.273359999999997	invalid_times		
297.53582	17.098540000000014	invalid_times		
297.53582	17.098540000000014	ci_recording_on_pause	2499.0	2500.0
503.50684000000007	9.502279999999985	invalid_times		
607.79728	17.61184000000003	invalid_times		
607.79728	17.61184000000003	ci_recording_on_pause	4999.0	5000.0
827.4205000000001	14.89864	invalid_times		
918.57198	16.956260000000043	invalid_times		
918.57198	16.956260000000043	ci_recording_on_pause	7499.0	7500.0
1047.32664	4.69248000000016	invalid_times		
1109.97128	11.848500000000058	invalid_times		
1228.69108	16.78186000000005	invalid_times		
1228.69108	16.78186000000005	ci_recording_on_pause	9999.0	10000.0
