onset	duration	nwb_table	start_original_frame	stop_original_frame
314.42318	17.954500000000053	invalid_times		
314.42318	17.954500000000053	ci_recording_on_pause	2499.0	2500.0
628.4754	18.18028000000004	invalid_times		
628.4754	18.18028000000004	ci_recording_on_pause	4999.0	5000.0
942.75332	18.159179999999992	invalid_times		
942.75332	18.159179999999992	ci_recording_on_pause	7499.0	7500.0
1257.0101000000002	17.80377999999996	invalid_times		
1257.0101000000002	17.80377999999996	ci_recording_on_pause	9999.0	10000.0
