onset	duration	nwb_table	start_original_frame	stop_original_frame
176.10744000000003	7.3187599999999975	invalid_times		
239.93824	16.913080000000036	invalid_times		
239.93824	16.913080000000036	ci_recording_on_pause	2499.0	2500.0
287.14548	3.5204200000000014	invalid_times		
363.94626000000005	5.836500000000001	invalid_times		
488.36538	16.836780000000033	invalid_times		
488.36538	16.836780000000033	ci_recording_on_pause	4999.0	5000.0
582.9293600000001	6.299699999999916	invalid_times		
709.29394	2.594000000000051	invalid_times		
721.1522000000001	9.912759999999935	invalid_times		
736.7161600000001	17.14197999999999	invalid_times		
736.7161600000001	17.14197999999999	ci_recording_on_pause	7499.0	7500.0
758.21234	6.670280000000048	invalid_times		
907.7375800000001	2.871919999999932	invalid_times		
985.3721200000001	16.80740000000003	invalid_times		
985.3721200000001	16.80740000000003	ci_recording_on_pause	9999.0	10000.0
1034.88238	1.667560000000094	invalid_times		
1041.83058	5.095340000000078	invalid_times		
1088.05926	33.536620000000084	invalid_times		
1208.7726	24.920860000000175	invalid_times		
