onset	duration	nwb_table	start_original_frame	stop_original_frame
305.1352	17.883520000000033	invalid_times		
305.1352	17.883520000000033	ci_recording_on_pause	2499.0	2500.0
620.48832	18.75455999999997	invalid_times		
620.48832	18.75455999999997	ci_recording_on_pause	4999.0	5000.0
936.71234	17.40190000000007	invalid_times		
936.71234	17.40190000000007	ci_recording_on_pause	7499.0	7500.0
1251.62838	17.076559999999972	invalid_times		
1251.62838	17.076559999999972	ci_recording_on_pause	9999.0	10000.0
