onset	duration	nwb_table	start_original_frame	stop_original_frame
239.79408	16.871759999999995	invalid_times		
239.79408	16.871759999999995	ci_recording_on_pause	2499.0	2500.0
427.03568	13.155240000000049	invalid_times		
446.67592	6.114400000000046	invalid_times		
488.17982000000006	16.98671999999999	invalid_times		
488.17982000000006	16.98671999999999	ci_recording_on_pause	4999.0	5000.0
666.9206	55.67822000000001	invalid_times		
736.6805	16.876060000000052	invalid_times		
736.6805	16.876060000000052	ci_recording_on_pause	7499.0	7500.0
787.37112	13.61848000000009	invalid_times		
822.2047600000001	24.36501999999996	invalid_times		
985.0705	16.902840000000083	invalid_times		
985.0705	16.902840000000083	ci_recording_on_pause	9999.0	10000.0
1008.9215200000001	-3.6130600000000186	invalid_times		
1068.7686600000002	116.08119999999985	invalid_times		
